decimalLatitude decimalLongitude scientificName
5.8 -75.4333 "Gallinago nobilis"
4.5166 -74.45 "Gallinago nobilis"
5.35 -72.3833 "Bartramia longicauda"
11.005915 -74.683398 "Calidris minutilla"
10.938944 -74.730248 "Calidris minutilla"
3.945174 -77.311123 "Calidris minutilla"
5.2525 -67.8661 "Calidris minutilla"
12.539565 -81.706192 "Calidris minutilla"
4.247303 -76.114683 "Calidris minutilla"
9.5833 -75.6667 "Calidris minutilla"
3.516647 -76.341293 "Calidris himantopus"
4.247303 -76.114683 "Calidris melanotos"
6.219 -77.408 "Arenaria interpres"
12.539565 -81.706192 "Arenaria interpres"
6.0 -77.35 "Arenaria interpres"
9.5833 -75.6667 "Arenaria interpres"
9.5833 -75.6667 "Arenaria interpres"
9.5833 -75.6667 "Limnodromus griseus"
2.587786 -77.891648 "Calidris mauri"
3.516647 -76.341293 "Calidris mauri"
11.42821 -73.09122 "Calidris mauri"
11.005915 -74.683398 "Calidris pusilla"
12.539565 -81.706192 "Calidris pusilla"
6.0 -77.35 "Calidris pusilla"
6.0833 -77.416092 "Calidris alba"
9.5833 -75.6667 "Calidris alba"
9.5833 -75.6667 "Calidris alba"
9.5833 -75.6667 "Calidris alba"
4.1666 -73.65 "Tringa solitaria"
11.005915 -74.683398 "Tringa solitaria"
4.9166 -74.1 "Tringa solitaria"
6.0 -77.35 "Tringa solitaria"
4.770775 -74.068955 "Tringa solitaria"
4.9166 -74.1 "Tringa solitaria"
5.2833 -73.8833 "Tringa solitaria"
3.516647 -76.341293 "Tringa solitaria"
5.8 -75.4333 "Tringa solitaria"
4.7 -74.1166 "Tringa solitaria"
12.547282 -81.71096 "Tringa solitaria"
11.311238 -73.943964 "Tringa solitaria"
5.2525 -67.8661 "Tringa solitaria"
6.267 -74.533 "Tringa solitaria"
7.48476 -74.867996 "Tringa solitaria"
1.8166 -78.7666 "Tringa solitaria"
9.5833 -75.6667 "Tringa solitaria"
4.5166 -74.45 "Tringa solitaria"
11.049794 -72.669859 "Tringa solitaria"
11.005915 -74.683398 "Jacana jacana"
5.933616 -75.66684 "Jacana jacana"
8.1914 -75.55 "Jacana jacana"
8.35 -75.1 "Jacana jacana"
8.35 -75.1 "Jacana jacana"
3.8927 -76.4975 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
6.9166 -70.9666 "Jacana jacana"
9.4166 -75.702298 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
6.1258 -75.8489 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
6.55081 -75.21748 "Jacana jacana"
6.48886 -74.4739 "Jacana jacana"
7.9666 -75.4 "Jacana jacana"
11.311238 -73.943964 "Jacana jacana"
6.47413 -74.420823 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
10.409072 -74.402529 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
4.726135 -75.887448 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
4.966667 -74.433333 "Jacana jacana"
9.5833 -75.6667 "Jacana jacana"
6.966806 -75.429117 "Jacana jacana"
5.9166 -75.6833 "Jacana jacana"
8.35 -75.1 "Jacana jacana"
4.0833 -72.9833 "Burhinus bistriatus"
5.35 -72.3833 "Burhinus bistriatus"
3.35 -75.1833 "Burhinus bistriatus"
0.7758 -74.4047 "Charadrius collaris"
11.2666 -73.3833 "Charadrius collaris"
4.4408 -75.6667 "Vanellus resplendens"
2.562833 -72.5666 "Vanellus cayanus"
8.35 -75.1 "Charadrius vociferus"
6.56 -75.8266 "Charadrius vociferus"
11.005915 -74.683398 "Charadrius wilsonia"
4.247303 -76.114683 "Charadrius wilsonia"
12.1666 -71.3333 "Charadrius wilsonia"
9.5833 -75.6667 "Charadrius wilsonia"
9.5833 -75.6667 "Charadrius semipalmatus"
12.547282 -81.71096 "Charadrius semipalmatus"
6.0 -77.35 "Charadrius semipalmatus"
9.5833 -75.6667 "Charadrius semipalmatus"
11.005915 -74.683398 "Pluvialis dominica"
6.2 -71.9333 "Himantopus mexicanus"
8.35 -75.1 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
9.5833 -75.6667 "Himantopus mexicanus"
11.005915 -74.683398 "Pluvialis squatarola"
12.547282 -81.71096 "Pluvialis squatarola"
6.0 -77.35 "Pluvialis squatarola"
5.7166 -75.9 "Vanellus chilensis"
7.35 -75.1 "Vanellus chilensis"
6.1705 -75.5844 "Vanellus chilensis"
11.005915 -74.683398 "Vanellus chilensis"
8.35 -75.1 "Vanellus chilensis"
5.04 -76.0833 "Vanellus chilensis"
6.966806 -75.429117 "Vanellus chilensis"
6.55081 -75.21748 "Vanellus chilensis"
6.4337 -75.320895 "Vanellus chilensis"
6.77417 -74.51783 "Vanellus chilensis"
6.1672 -75.58325 "Vanellus chilensis"
6.0 -75.8166 "Vanellus chilensis"
6.58664 -76.24167 "Vanellus chilensis"
6.1705 -75.5844 "Vanellus chilensis"
7.0625 -70.7981 "Vanellus chilensis"
7.0625 -70.7981 "Vanellus chilensis"
7.0419 -75.9558 "Vanellus chilensis"
6.9166 -75.8333 "Vanellus chilensis"
-0.59937 -72.398646 "Vanellus chilensis"
5.975 -75.7083 "Vanellus chilensis"
6.2166 -75.5 "Vanellus chilensis"
5.5292 -75.8561 "Vanellus chilensis"
6.2056 -75.3047 "Vanellus chilensis"
6.9166 -75.8333 "Vanellus chilensis"
10.1233 -75.4217 "Vanellus chilensis"
3.869999 -76.389999 "Vanellus chilensis"
5.8 -75.4333 "Vanellus chilensis"
6.48886 -74.4739 "Vanellus chilensis"
6.166667 -75.551666 "Vanellus chilensis"
6.706389 -75.758889 "Vanellus chilensis"
5.35 -72.3833 "Vanellus chilensis"
6.3 -75.0666 "Vanellus chilensis"
1.0833 -77.15 "Vanellus chilensis"
6.4403 -75.6066 "Vanellus chilensis"
5.9833 -75.6166 "Vanellus chilensis"
4.6167 -75.45 "Vanellus chilensis"
6.966806 -75.429117 "Vanellus chilensis"
-0.05 -75.2167 "Vanellus chilensis"
6.166667 -75.551666 "Vanellus chilensis"
6.706389 -75.758889 "Vanellus chilensis"
6.966806 -75.429117 "Vanellus chilensis"
9.5833 -75.6667 "Vanellus chilensis"
9.5833 -75.6667 "Vanellus chilensis"
3.35 -75.1833 "Vanellus chilensis"
6.0256 -75.3931 "Vanellus chilensis"
6.4333 -75.3333 "Vanellus chilensis"
6.706389 -75.758889 "Vanellus chilensis"
8.35 -75.1 "Vanellus chilensis"
6.966806 -75.429117 "Vanellus chilensis"
8.514373 -77.281337 "Vanellus chilensis"
6.58664 -76.24167 "Vanellus chilensis"
8.35 -75.1 "Vanellus chilensis"
5.593166 -75.662833 "Vanellus chilensis"
4.9666 -75.3833 "Vanellus chilensis"
9.5833 -75.6667 "Vanellus chilensis"
5.9166 -75.6833 "Vanellus chilensis"
6.966806 -75.429117 "Vanellus chilensis"
6.966806 -75.429117 "Vanellus chilensis"
6.0256 -75.3931 "Vanellus chilensis"
2.962647 -78.197282 "Stercorarius pomarinus"
9.5833 -75.6667 "Leucophaeus pipixcan"
8.095106 -76.732407 "Leucophaeus atricilla"
6.0 -77.35 "Leucophaeus atricilla"
12.539565 -81.706192 "Leucophaeus atricilla"
11.42821 -73.09122 "Leucophaeus atricilla"
6.5706 -77.3667 "Leucophaeus atricilla"
1.8166 -78.7666 "Leucophaeus modestus"
12.539565 -81.706192 "Stercorarius parasiticus"
12.547282 -81.71096 "Sternula antillarum"
6.2 -71.9333 "Rynchops niger"
8.35 -75.1 "Rynchops niger"
11.42821 -73.09122 "Rynchops niger"
8.35 -75.1 "Sternula superciliaris"
5.2525 -67.8661 "Sternula superciliaris"
8.35 -75.1 "Sternula superciliaris"
12.547282 -81.71096 "Onychoprion fuscatus"
6.0 -77.35 "Chlidonias niger"
8.35 -75.1 "Phaetusa simplex"
7.0625 -70.7981 "Phaetusa simplex"
8.35 -75.1 "Phaetusa simplex"
4.247303 -76.114683 "Phaetusa simplex"
11.005915 -74.683398 "Gelochelidon nilotica"
11.42821 -73.09122 "Gelochelidon nilotica"
11.005915 -74.683398 "Hydroprogne caspia"
8.56735 -76.8177 "Thalasseus sandvicensis"
6.0 -77.35 "Thalasseus sandvicensis"
9.5833 -75.6667 "Sterna hirundo"
9.5833 -75.6667 "Sterna hirundo"
8.35 -75.1 "Sterna hirundo"
11.005915 -74.683398 "Thalasseus maximus"
9.5833 -75.6667 "Thalasseus maximus"
12.547282 -81.71096 "Thalasseus maximus"
7.666667 -77.093123 "Thalasseus maximus"
1.8166 -78.7666 "Thalasseus maximus"
9.5833 -75.6667 "Thalasseus maximus"
2.562833 -72.5666 "Spizaetus ornatus"
6.031 -77.270536 "Spizaetus ornatus"
6.469824 -75.332517 "Spizaetus tyrannus"
6.0167 -75.45 "Spizaetus tyrannus"
6.0 -77.35 "Harpia harpyja"
6.0167 -75.45 "Buteo brachyurus"
7.0419 -75.9558 "Buteo brachyurus"
5.083 -75.5 "Buteo brachyurus"
5.9166 -75.6833 "Buteo brachyurus"
6.4706 -75.7331 "Buteo brachyurus"
8.6667 -77.3667 "Buteo brachyurus"
8.35 -75.1 "Busarellus nigricollis"
6.9742 -71.0156 "Busarellus nigricollis"
2.562833 -72.5666 "Busarellus nigricollis"
6.48886 -74.4739 "Busarellus nigricollis"
11.311238 -73.943964 "Busarellus nigricollis"
7.666667 -77.093123 "Busarellus nigricollis"
9.5833 -75.6667 "Busarellus nigricollis"
8.7833 -75.7833 "Busarellus nigricollis"
8.35 -75.1 "Busarellus nigricollis"
9.5833 -75.6667 "Busarellus nigricollis"
5.75 -74.25 "Buteo albicaudatus"
6.47754 -75.227654 "Buteo albicaudatus"
6.684383 -74.848824 "Buteo albicaudatus"
6.433333 -75.716667 "Buteo albicaudatus"
6.9166 -75.8333 "Buteo albicaudatus"
5.083 -75.5 "Buteo albicaudatus"
6.218977 -75.59 "Buteo albicaudatus"
6.2914 -75.5361 "Buteo albicaudatus"
11.311238 -73.943964 "Buteo albicaudatus"
6.4166 -75.4 "Buteo albicaudatus"
7.4666 -74.9 "Buteo albicaudatus"
6.76727 -75.78377 "Buteo albicaudatus"
6.0256 -75.3931 "Buteo albicaudatus"
6.0256 -75.3931 "Buteo albicaudatus"
6.1833 -74.9833 "Buteo albicaudatus"
6.2702 -75.1911 "Buteo albicaudatus"
6.03366 -75.15 "Buteo albicaudatus"
4.15 -74.4 "Buteo leucorrhous"
5.8 -73.3833 "Buteo leucorrhous"
6.267 -74.533 "Buteo leucorrhous"
7.6166 -76.9667 "Buteo albonotatus"
11.284961 -74.002631 "Buteo albonotatus"
5.2833 -75.2667 "Buteo polyosoma"
11.284961 -74.002631 "Harpyhaliaetus solitarius"
1.3666 -72.6833 "Parabuteo unicinctus"
2.8 -77.4667 "Parabuteo unicinctus"
5.094503 -75.533589 "Buteo swainsoni"
6.5166 -75.6833 "Buteo swainsoni"
6.4333 -75.3333 "Buteo swainsoni"
4.5166 -74.45 "Buteo swainsoni"
5.094503 -75.533589 "Geranoaetus melanoleucus"
5.8 -75.4333 "Geranoaetus melanoleucus"
4.9666 -75.3833 "Geranoaetus melanoleucus"
6.2367 -75.5806 "Gampsonyx swainsonii"
4.796915 -76.0822 "Gampsonyx swainsonii"
10.496094 -73.159612 "Gampsonyx swainsonii"
3.516647 -76.341293 "Gampsonyx swainsonii"
9.5833 -75.6667 "Gampsonyx swainsonii"
9.5833 -75.6667 "Gampsonyx swainsonii"
9.5833 -75.6667 "Gampsonyx swainsonii"
9.5833 -75.6667 "Gampsonyx swainsonii"
9.5833 -75.6667 "Gampsonyx swainsonii"
9.5833 -75.6667 "Gampsonyx swainsonii"
1.1333 -76.2667 "Spizaetus isidori"
5.9166 -75.6833 "Spizaetus isidori"
6.0 -77.35 "Accipiter superciliosus"
3.38 -74.04 "Accipiter superciliosus"
2.5333 -76.95 "Accipiter collaris"
6.77417 -74.51783 "Ictinia plumbea"
3.8333 -76.7166 "Ictinia plumbea"
4.7 -74.1166 "Ictinia plumbea"
7.666667 -77.093123 "Ictinia plumbea"
